,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.765,0.6274509803921569,0.5333333333333333,0.5765765765765766,0.8065476190476192
Decision Tree,0.65,0.421875,0.45,0.43548387096774194,0.5928571428571429
Random Forest,0.75,0.6470588235294118,0.36666666666666664,0.46808510638297873,0.8003571428571429
